Country_x,City,Latitude,Longitude,City_ID,Cloudiness,Country_y,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nc,koumac,-20.5666667,164.2833333,114,0,NC,1558378775,68,-20.56,164.28,74.4,12.86
pf,faanui,-16.4833333,-151.75,115,61,PF,1558378775,74,-16.48,-151.75,82.86,11.59
la,xam nua,20.419722,104.04388900000001,116,100,LA,1558378775,98,20.42,104.04,67.38,2.17
za,east london,-33.011051,27.910049,117,20,ZA,1558378775,72,-33.02,27.91,60.8,27.51
cv,sao filipe,14.9,-24.5166667,118,2,CV,1558378776,84,14.9,-24.5,72.96,16.91
ru,deputatskiy,69.3,139.9,119,47,RU,1558378776,82,69.3,139.9,8.52,3.31
uy,chuy,-33.6833333,-53.45,120,96,UY,1558378776,91,-33.69,-53.46,65.58,13.78
us,sitka,57.0530556,-135.33,121,100,US,1558378776,98,37.17,-99.65,48.99,11.99
it,forio,40.733333,13.85,122,75,IT,1558378777,77,40.73,13.86,62.6,6.93
ru,russkaya polyana,53.77944399999999,73.880556,123,100,RU,1558378777,80,53.78,73.88,45.24,6.76
ua,russkaya polyana,49.420947999999996,31.922065000000003,123,100,RU,1558378777,80,53.78,73.88,45.24,6.76
cl,san felipe,-32.75,-70.733333,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
cr,san felipe,9.904882,-84.105512,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
gt,san felipe,14.616667000000001,-91.6,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
mx,san felipe,31.0,-114.86666699999999,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
mx,san felipe,21.27,-101.492222,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ph,san felipe,14.0184,122.9295,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ph,san felipe,15.5014,120.9078,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ph,san felipe,16.0575,120.6271,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ph,san felipe,15.816667,120.6,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ph,san felipe,15.0624,120.0702,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
ve,san felipe,10.3405556,-68.7372222,124,37,CL,1558378777,95,-32.75,-70.73,51.01,1.01
br,arraial do cabo,-22.966667,-42.016667,125,0,BR,1558378491,78,-22.97,-42.02,84.2,4.7
gb,margate,51.383333,1.416667,126,40,AU,1558378778,66,-43.03,147.26,57.99,5.82
